
FullName,Service,Role,CanonicalModules,IsTest
C:\Users\richg\eafix-modular\services\data-ingestor\src\2099900116260118_plugin.py,data-ingestor,plugin,D1_MARKET_FEED_ADAPTER,0
C:\Users\richg\eafix-modular\shared\2099900208260118_plugin_registry.py,,plugin,,0
C:\Users\richg\eafix-modular\services\data-ingestor\src\2099900111260118_ingestor.py,data-ingestor,other,D1_MARKET_FEED_ADAPTER,0
C:\Users\richg\eafix-modular\services\calendar-ingestor\src\2099900092260118_ingestor.py,calendar-ingestor,other,"D2_CALENDAR_SOURCE_ADAPTER,D3_CALENDAR_NORMALIZER,F2_EVENT_LOG,D4_CALENDAR_TRIGGER_BUILDER",0
C:\Users\richg\eafix-modular\services\transport-router\src\2099900199260118_main.py,transport-router,entrypoint,"R2_ORDER_INTENT_COMPILER,O1_ORDER_ROUTER,B1_MT4_ADAPTER_TRANSPORT",0
C:\Users\richg\eafix-modular\services\event-gateway\src\2099900140260118_health.py,event-gateway,health,,0
C:\Users\richg\eafix-modular\services\event-gateway\src\2099900139260118_gateway.py,event-gateway,other,,0
C:\Users\richg\eafix-modular\services\event-gateway\src\2099900138260118_config.py,event-gateway,config,,0
C:\Users\richg\eafix-modular\services\common\2099900101260118_base_service.py,common,service,,0
C:\Users\richg\eafix-modular\services\event-gateway\src\2099900142260118_metrics.py,event-gateway,metrics,,0
C:\Users\richg\eafix-modular\services\event-gateway\src\2099900141260118_main.py,event-gateway,entrypoint,,0
C:\Users\richg\eafix-modular\services\calendar-ingestor\tests\2099900099260118_test_ingestor.py,calendar-ingestor,test,"D2_CALENDAR_SOURCE_ADAPTER,D3_CALENDAR_NORMALIZER,F2_EVENT_LOG,D4_CALENDAR_TRIGGER_BUILDER",1
C:\Users\richg\eafix-modular\services\gui-gateway\src\2099900155260118_config.py,gui-gateway,config,,0
C:\Users\richg\eafix-modular\services\data-ingestor\tests\integration\2099900117260118___init__.py,data-ingestor,package_init,D1_MARKET_FEED_ADAPTER,1
C:\Users\richg\eafix-modular\Directory management system\03_IMPLEMENTATION\DOC-TEST-0632__test_copilot_parser.py,,test,,1
C:\Users\richg\eafix-modular\Directory management system\03_IMPLEMENTATION\file watcher\filesystem_watcher_from_ALL_AI.py,,watcher,,0
C:\Users\richg\eafix-modular\filesystem_watcher_from_ALL_AI.py,,watcher,,0
C:\Users\richg\eafix-modular\Directory management system\03_IMPLEMENTATION\file watcher\github_watcher_from_ALL_AI.py,,watcher,,0
C:\Users\richg\eafix-modular\Directory management system\03_IMPLEMENTATION\file watcher\github_pipeline_from_ALL_AI.py,,other,,0
C:\Users\richg\eafix-modular\dag\pfa_dag_to_mermaid.py,,other,,0
C:\Users\richg\eafix-modular\dag\pfa_generate_dag.py,,other,,0
C:\Users\richg\eafix-modular\dag\pfa_integrate_dag.py,,other,,0
C:\Users\richg\eafix-modular\dag\dag_builder.py,,other,,0
C:\Users\richg\eafix-modular\dag\dag_utils.py,,other,,0
C:\Users\richg\eafix-modular\dag\test_dag_utils.py,,test,,1
C:\Users\richg\eafix-modular\dag\test_dag_builder.py,,test,,1
C:\Users\richg\eafix-modular\dag\phase_dag_manager.py,,other,,0
C:\Users\richg\eafix-modular\Directory management system\03_IMPLEMENTATION\file watcher\file_watcher_from_ALL_AI.py,,watcher,,0
C:\Users\richg\eafix-modular\file_watcher_from_ALL_AI.py,,watcher,,0
C:\Users\richg\eafix-modular\2099900007260118_enhanced_calendar_system.py,,other,,0
C:\Users\richg\eafix-modular\Directory management system\03_IMPLEMENTATION\2099900075260118___init__.py,,package_init,,0
C:\Users\richg\eafix-modular\Directory management system\03_IMPLEMENTATION\2099900076260118_audit_logger.py,,other,,0
C:\Users\richg\eafix-modular\Directory management system\03_IMPLEMENTATION\2099900077260118___init__.py,,package_init,,0
C:\Users\richg\eafix-modular\Directory management system\03_IMPLEMENTATION\2099900080260118___init__.py,,package_init,,0
C:\Users\richg\eafix-modular\Directory management system\03_IMPLEMENTATION\2026011820600003_validate_identity_system.py,,other,,0
C:\Users\richg\eafix-modular\Directory management system\03_IMPLEMENTATION\audit_logger.py,,other,,0
C:\Users\richg\eafix-modular\Directory management system\03_IMPLEMENTATION\validate_uniqueness.py,,other,,0
C:\Users\richg\eafix-modular\Directory management system\03_IMPLEMENTATION\validate_identity_sync.py,,other,,0
C:\Users\richg\eafix-modular\scripts\migration\quick_start_migration.py,,other,,0
C:\Users\richg\eafix-modular\Directory management system\03_IMPLEMENTATION\2099900072260118_Enhanced File Scanner v2.py,,other,,0
C:\Users\richg\eafix-modular\Directory management system\03_IMPLEMENTATION\normalize_rel_type.py,,other,,0
C:\Users\richg\eafix-modular\Directory management system\03_IMPLEMENTATION\DOC-SCRIPT-SCRIPTS-UPDATE-TERM-264__update_term.py,,other,,0
C:\Users\richg\eafix-modular\Directory management system\03_IMPLEMENTATION\DOC-CORE-SUB-GLOSSARY-VALIDATE-GLOSSARY-SCHEMA-770__validate_glossary_schema.py,,other,,0
C:\Users\richg\eafix-modular\Directory management system\03_IMPLEMENTATION\DOC-SCRIPT-SCRIPTS-VALIDATE-GLOSSARY-265__validate_glossary.py,,other,,0
C:\Users\richg\eafix-modular\Directory management system\03_IMPLEMENTATION\2026012100230006_validate_conditional_enums.py,,other,,0
C:\Users\richg\eafix-modular\Directory management system\03_IMPLEMENTATION\2026012100230009_validate_edge_evidence.py,,other,,0
C:\Users\richg\eafix-modular\Directory management system\03_IMPLEMENTATION\2026012120420006_validate_write_policy.py,,other,,0
C:\Users\richg\eafix-modular\Directory management system\03_IMPLEMENTATION\2026012120420012_test_write_policy.py,,test,,1
C:\Users\richg\eafix-modular\Directory management system\03_IMPLEMENTATION\2026012120420016_test_integration.py,,test,,1
C:\Users\richg\eafix-modular\tests\__init__.py,,package_init,,1
C:\Users\richg\eafix-modular\tests\2026012122000051_test_queue.py,,test,,1
C:\Users\richg\eafix-modular\tests\test_policy_gate.py,,test,,1
C:\Users\richg\eafix-modular\tests\test_validators.py,,test,,1
C:\Users\richg\eafix-modular\tests\test_identity_pipeline.py,,test,,1
C:\Users\richg\eafix-modular\tests\test_git_adapter.py,,test,,1
C:\Users\richg\eafix-modular\tests\test_watcher.py,,test,,1
